company_name,year_founded,Industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,ipo_status,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors,operating_status_binary,num_employees_cat,clean_name,city,state,country
Fenix Space,2017,"Industrial, Information Technology, Space Travel","San Bernardino, California, United States",92408,Fenix Space is a revolutionary platform that provides responsive and flexible launch-on-demand services at rideshare prices.,Active,174912,Seed,2022-09-09,Pre-Seed,Private,Less than $1M,10-Jan,1,20000,Techstars,1,1,10-Jan,FENIX SPACE,San Bernardino,California,United States
"Active Atom, LLC",2017,"Manufacturing, Product Design","Yucca Valley, California, United States",92284,Precision Machining,Active,863166,0,0,0,Private,Less than $1M,10-Jan,0,0,0,0,1,10-Jan,"ACTIVE ATOM,",Yucca Valley,California,United States
Additive Rocket Corporation,2015,"Aerospace, Manufacturing","San Diego, California, United States",92161,ARC leverages advanced simulation & metal printing to create highly optimized propulsion systems for the space/defense industries.,Closed,97956,Seed,2019-05-16,Seed,Private,Less than $1M,10-Jan,3,1470000,"Techstars, Contrary, Ross Mason, Silicon Balls",4,0,10-Jan,ADDITIVE ROCKET,San Diego,California,United States
Vistry,2020,"Artificial Intelligence (AI), Internet of Things, Machine Learning, Restaurants, SaaS, Software","San Diego, California, United States",92130,"SaaS, Conversational AI Platform for Enterprise Operations",Active,173468,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,VISTRY,San Diego,California,United States
Voyager Space Technologies,2017,"3D Printing, CRM, Information Technology, Manufacturing, Software, Virtual Reality","San Diego, California, United States",92122,"Space, Defense, Software, SaaS, Design, New Space",Closed,3025964,0,2019-06-10,Non-equity Assistance,Private,0,10-Jan,2,0,"Creative Destruction Lab (CDL), Nex Cubed",2,0,10-Jan,VOYAGER SPACE TECHNOLOGIES,San Diego,California,United States
"Value Viewpoint, Inc.",2023,"Information Technology, Management Consulting, Software","San Diego, California, United States",92122,Value Viewpoint is a SaaS platform that enables technology companies to showcase economical benefits of their solutions.,Active,852645,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,"VALUE VIEWPOINT,",San Diego,California,United States
XOKind,2019,"Artificial Intelligence (AI), Machine Learning, Software","San Diego, California, United States",92121,"XOKind is an AI startup, formed with the mission of simplifying human planning and decision.",Closed,102292,Seed,2019-12-12,Pre-Seed,Private,0,10-Jan,1,3600000,"Section 32, Adam DAngelo, Naveen Rao, Frederic Kerrest, Avid Larizadeh",11,0,10-Jan,XOKIND,San Diego,California,United States
Capture2,2015,"Business Development, Business Intelligence, Government, Information Services, Information Technology, Software","San Diego, California, United States",92108,A software startup Based in San Diego.,Active,63041,Early Stage Venture,2018-06-06,Series A,Private,$1M to $10M,10-Jan,1,4000000,Mithril Capital Management,1,1,10-Jan,CAPTURE2,San Diego,California,United States
NiftyKit,2020,"Apps, Cryptocurrency, E-Commerce, Information Technology, Internet, Marketing, Marketplace, Non-Fungible Token (NFT), SaaS, Software","San Diego, California, United States",92108,"The Easiest Way to Create, Manage and Sell NFTs.",Active,299495,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,NIFTYKIT,San Diego,California,United States
DragonGlass,2018,"Blockchain, Data Center, Information Services, Information Technology, Manufacturing, Product Design","San Diego, California, United States",92101,DragonGlass is a hardware design and manufacturing company for the Blockchain and Cloud Computing space.,Active,3026999,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,DRAGONGLASS,San Diego,California,United States
Water Vision Technology,2017,"Information Technology, Water, Water Transportation","San Diego, California, United States",92101,Water Vision Technology uses satellites to detect treated water leaks underground in urban and nonurban water systems.,Active,3152903,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,WATER VISION TECHNOLOGY,San Diego,California,United States
Amkom Design Group,2016,"Manufacturing, Satellite Communication, Telecommunications","Vista, California, United States",92081,"Amkom Design Group specializes in the manufacture and supply of telecommunication solutions for military, commercial and space markets.",Active,1244842,0,0,0,Private,Less than $1M,11-50,0,0,0,0,1,11-50,AMKOM DESIGN GROUP,Vista,California,United States
Vector Space Biosciences,2018,"Artificial Intelligence (AI), Biotechnology, Machine Learning","La Jolla, California, United States",92037,"Vector Space Biosciences develops tools for space biosciences research, including data pipelines and visualization.",Active,261971,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,VECTOR SPACE BIOSCIENCES,La Jolla,California,United States
Global Air Logistics and Training,2015,"Aerospace, Space Travel","Del Mar, California, United States",92014,Global Air Logistics and Training is an innovative airborne systems delivering warfighter focused solutions.,Active,474088,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,GLOBAL AIR LOGISTICS AND TRAINING,Del Mar,California,United States
Tinoro,2015,"Biotechnology, Health Care, Manufacturing","Carlsbad, California, United States",92008,"?Tinoro is developing a new, non-thermal technology which uses electric field induced pH changes to amplify DNA.",Active,3425918,Seed,2016-11-01,Seed,Private,$1M to $10M,10-Jan,1,0,Analytics Ventures,1,1,10-Jan,TINORO,Carlsbad,California,United States
Product Revolution Consulting,2017,"Biotechnology, Consulting, Electronics, Finance, Manufacturing, Medical","San Diego, California, United States",91915,"So That Pioneers Succeed. Consulting Firm focusing on product commercialization, in hard tech and disruptive technology",Closed,3339635,0,1917-07-17,Debt Financing,Private,0,10-Jan,1,250000,Daniel O'Leary,1,0,10-Jan,PRODUCT REVOLUTION CONSULTING,San Diego,California,United States
ChatMap,2015,"Apps, Information Technology, Location Based Services, Robotics, Software","Walnut, California, United States",91789,Talk and plan with your team on a shared map.,Closed,3377786,0,0,0,Private,Less than $1M,10-Jan,0,0,0,0,0,10-Jan,CHATMAP,Walnut,California,United States
Bronco Space,2019,"Aerospace, Technical Support, Training","Pomona, California, United States",91768,Bronco Space is a defence and space company that provides technical and programmatic training services.,Active,1739187,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,BRONCO SPACE,Pomona,California,United States
PE Stack,2018,"Financial Services, Information Technology, Software","Westlake Village, California, United States",91367,PE Stack is to provide transparency around private capital software and data technology.,Active,1338269,M&A,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,PE STACK,Westlake Village,California,United States
Occuspace,2017,"Commercial Real Estate, Facilities Support Services, Facility Management, Information Technology, Smart Building, Software","Westlake Village, California, United States",91361,The world's easiest and most scalable occupancy monitoring technology. Helping organizations understand and improve their physical spaces.,Active,51086,Seed,2023-08-24,Seed,Private,$1M to $10M,11-50,2,3600000,"Shadow Ventures, Okapi Venture Capital, Cove Fund, Hamilton Ventures, Sunriver Ventures",5,1,11-50,OCCUSPACE,Westlake Village,California,United States
TransAstra,2015,"Aerospace, Industrial, Software, Space Travel","Los Angeles, California, United States",91331,"TransAstra develops a technology to find, prospect, harvest and use space resources.",Active,43489,Seed,2021-09-10,Seed,Private,$1M to $10M,11-50,4,7025000,"Y Combinator, Soma Capital, NASA, Side Door Ventures, Global Founders Capital",16,1,11-50,TRANSASTRA,Los Angeles,California,United States
Terray Therapeutics,2018,"Artificial Intelligence (AI), Biopharma, Biotechnology, Life Science, Medical","Pasadena, California, United States",91107,Terray Therapeutics is a biotechnology company that transforms small molecule drug discovery.,Active,550,Early Stage Venture,2024-10-17,Series B,Private,$10M to $50M,51-100,6,200000000,"NVentures, Digitalis Ventures, Two Sigma Ventures, Alexandria Venture Investments, Maverick Capital",17,1,51-100,TERRAY THERAPEUTICS,Pasadena,California,United States
Radial Space,2019,"Aerospace, Electronics, Manufacturing","Pasadena, California, United States",91107,"Radial Space develops RF electronics modules for SmallSat applications, focusing on cost-effectiveness.",Active,1941484,0,0,0,Private,$1M to $10M,10-Jan,0,0,0,0,1,10-Jan,RADIAL SPACE,Pasadena,California,United States
Continuum Space Systems,2021,"Aerospace, Management Information Systems, Space Travel","Pasadena, California, United States",91101,Continuum Space built the Unified Mission Management SaaS platform for planning and executing space missions with less time and cost,Active,49885,Seed,2023-06-22,Seed,Private,$1M to $10M,11-50,2,6000000,"Unlock Venture Partners, Freeflow Ventures, Mandala Space Ventures, Explorer 1 Fund, Prophetic Capital Partners",5,1,11-50,CONTINUUM SPACE SYSTEMS,Pasadena,California,United States
Vestigo Aerospace,2019,Satellite Communication,"La Canada Flintridge, California, United States",91011,"Vestigo Aerospace provides deorbit capability for cubeSats, small satellites, and launch vehicle stages.",Active,115735,Seed,2022-08-16,Grant,Private,0,10-Jan,2,750000,"Manhattan West, Nasa Small Business Innovation Research / Small Business Technology Transfer",2,1,10-Jan,VESTIGO AEROSPACE,La Canada Flintridge,California,United States
OffWorld,2016,"Artificial Intelligence (AI), Industrial Automation, Mining Technology, Robotics, Space Travel","Altadena, California, United States",91001,"OffWorld is developing AI-powered rugged robots for heavy industrial jobs in the mining, infrastructure, and space sectors.",Active,51172,Seed,2022-02-24,Grant,Private,$1M to $10M,51-100,2,4252433,"National Science Foundation, Starbridge Venture Capital",2,1,51-100,OFFWORLD,Altadena,California,United States
Rentado,2019,"Information Technology, Market Research, Real Estate, Rental, Rental Property, Software","Long Beach, California, United States",90815,"A Secure Renter to Landlord Mobile and CRM linked-ecosystem that enables payments, social, maintenance requests and access, and more.",Active,1323737,Seed,2022-11-01,Pre-Seed,Private,0,10-Jan,1,0,Sunstone Management,1,1,10-Jan,RENTADO,Long Beach,California,United States
Relativity Space,2015,"3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Long Beach, California, United States",90809,"Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Active,6733,Late Stage Venture,2023-11-15,Series F,Private,$1M to $10M,501-1000,9,1355719978,"General Catalyst, BlackRock, Y Combinator, Fidelity, Tiger Global Management",58,1,501-1000,RELATIVITY SPACE,Long Beach,California,United States
ExLabs,2023,"Aerospace, Manufacturing, Mining Technology, Natural Resources, Robotics, Space Travel","Long Beach, California, United States",90808,ExLabs is an aerospace company that focuses on developing infrastructure for resource utilization in aerospace and defense technologies.,Active,52842,Seed,0,Grant,Private,0,11-50,4,3600000,"Leonid Capital Partners, 1517 Fund",2,1,11-50,EXLABS,Long Beach,California,United States
Virgin Orbit,2017,"Aerospace, Satellite Communication, Space Travel","Long Beach, California, United States",90808,Virgin Orbit focuses on providing launch services for small satellites.,Active,8813,IPO,2023-02-02,Post-IPO Equity,Public,$10M to $50M,501-1000,5,479500000,"UK Space Agency, Mubadala, Yorkville Advisors, Virgin Group, AEI Horizon X",5,1,501-1000,VIRGIN ORBIT,Long Beach,California,United States
RELU Labs,2019,"Analytics, Artificial Intelligence (AI), Education, Human Resources, Information Technology, Machine Learning, Small and Medium Businesses, Warehouse Automation","Cypress, California, United States",90630,RELU Labs is working on improving robotic perception and automation capabilities in the space of assembly and warehouse logistics.,Closed,1442928,0,0,0,Private,0,10-Jan,0,0,0,0,0,10-Jan,RELU LABS,Cypress,California,United States
Optec America,2017,"Manufacturing, Product Design, Technical Support","Torrance, California, United States",90505,Optec America is a distributor of defence and military products.,Active,1958393,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,OPTEC AMERICA,Torrance,California,United States
Safely Health,2016,"Apps, Blockchain, Health Care, Information Technology, Marketplace, Software","Santa Monica, California, United States",90404,Safely is a marketplace platform for testing and verification of STDs and COVID-19.,Active,103291,Early Stage Venture,2019-07-01,Series A,Private,$10M to $50M,10-Jan,4,5300000,"AngelList, StartUp Health, KiwiTech, Mayo Clinic, Bossanova Investimentos",15,1,10-Jan,SAFELY HEALTH,Santa Monica,California,United States
HoldOn Bags,2021,"Consumer Goods, E-Commerce, Manufacturing, Retail","Santa Monica, California, United States",90401,"HoldOn Bags manufactures compostable, plant-based household bags to reduce environmental pollution.",Active,278714,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,HOLDON BAGS,Santa Monica,California,United States
Qualle,2021,"Information Technology, Software, Web Development","Santa Monica, California, United States",90401,Qualle provides driving efficiencies and optimizations in the drayage space by utilizing empty ocean containers.,Active,1220991,0,2022-08-18,Non-equity Assistance,Private,Less than $1M,10-Jan,2,0,Plug and Play,1,1,10-Jan,QUALLE,Santa Monica,California,United States
Ctrl AI,2023,"Artificial Intelligence (AI), Web3","Santa Monica, California, United States",90401,Innovative AI Platform with revolutionary co-ownership model,Active,531040,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,CTRL AI,Santa Monica,California,United States
Emerge,2015,"Consumer Electronics, Manufacturing, Telecommunications","Marina Del Rey, California, United States",90292,"Emerge is a computer and electronic manufacturing company that offers products in the gaming, and space exploration fields.",Active,2699305,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,EMERGE,Marina Del Rey,California,United States
One Inc Cooperative,2018,"Artificial Intelligence (AI), Professional Networking","Los Angeles, California, United States",90292,One Inc Cooperative is a space-making company that specializes in communications technologies.,Active,1129396,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,ONE INC COOPERATIVE,Los Angeles,California,United States
Impulse Space,2021,"Aerospace, Manufacturing, Space Travel","Redondo Beach, California, United States",90278,Impulse Space develops orbital maneuvering vehicles for last-mile cargo delivery.,Active,267,Early Stage Venture,2024-10-01,Series B,Private,$1M to $10M,101-250,3,225000000,"Island Green, Alumni Ventures, DCVC, Lux Capital, Jackson Moses",8,1,101-250,IMPULSE SPACE,Redondo Beach,California,United States
Power Orbital,2018,Manufacturing,"Redondo Beach, California, United States",90277,Power Orbital is a manufacturing company.,Active,89685,0,2018-10-31,Venture - Series Unknown,Private,0,0,1,7100000,0,0,1,,POWER ORBITAL,Redondo Beach,California,United States
Advancepay,2022,"Advertising, Big Data, Information Technology, Market Research, Marketing, Software","Pacific Palisades, California, United States",90272,AdvancePay offers a marketing technology platform that empowers brands with pricing data and benchmarketing for the social commerce space.,Active,155860,Seed,0,Pre-Seed,Private,0,10-Jan,1,200000,"Antler, Launch House, Jason Xie",3,1,10-Jan,ADVANCEPAY,Pacific Palisades,California,United States
Park Yourself,2018,"Information Technology, Mobile Apps, Software","Manhattan Beach, California, United States",90266,Park Yourself is a software development company that offers EV charging stations and parking space-finding apps.,Active,2211145,0,0,0,Private,$1M to $10M,10-Jan,0,0,0,0,1,10-Jan,PARK YOURSELF,Manhattan Beach,California,United States
GiveBox,2016,"Analytics, FinTech, Information Technology","El Segundo, California, United States",90254,The first end-to-end payment and technology solution solving THE problem in philanthropic fundraising,Active,409349,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,GIVEBOX,El Segundo,California,United States
Itech Series,2016,"Artificial Intelligence (AI), Consulting, Content Marketing, Content Syndication, Information Technology, Lead Generation, Market Research, Publishing","Hawthorne, California, United States",90250,"Itech Series is a technology company that provides lead generation, events, and editorial services for organizations.",Active,259192,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,ITECH SERIES,Hawthorne,California,United States
NAXC,2017,"Aerospace, Space Travel","Hawthorne, California, United States",90250,"NAXC was an aerospace company that designs, manufactured and launched rockets into space.",Closed,160413,M&A,2018-12-25,Series A,Private,0,10-Jan,2,2001000,0,0,0,10-Jan,NAXC,Hawthorne,California,United States
Hadrian,2020,"Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management","Hawthorne, California, United States",90250,Hadrian is a machine parts startup that manufactures precision components for technology companies.,Active,3263,Early Stage Venture,2024-02-21,Series B,Private,$1M to $10M,101-250,5,216500000,"Andreessen Horowitz, Founders Fund, Lux Capital, Jackson Moses, Village Global",21,1,101-250,HADRIAN,Hawthorne,California,United States
Leo Aerospace,2017,"Aerospace, Satellite Communication, Space Travel","Los Angeles, California, United States",90247,Leo Aerospace is building a dedicated delivery service for microsatellites.,Active,155776,Seed,2019-07-15,Seed,Private,Less than $1M,10-Jan,4,120000,"Techstars, Startmate, Creative Destruction Lab (CDL), Blackbird Ventures, Plug and Play",6,1,10-Jan,LEO AEROSPACE,Los Angeles,California,United States
Phase Four,2015,"Aerospace, Innovation Management, Space Travel","El Segundo, California, United States",90245,Phase Four is a provider of electric propulsion (EP) for small satellites.,Active,6089,Early Stage Venture,2024-03-13,Debt Financing,Private,$1M to $10M,11-50,7,35815499,"Leonid Capital Partners, Alumni Ventures, Lightspeed Venture Partners, Dolby Family Ventures, Green D Ventures",11,1,11-50,PHASE FOUR,El Segundo,California,United States
ABL Space Systems,2017,"Aerospace, Information Technology, Satellite Communication","El Segundo, California, United States",90245,ABL Space Systems specializes in building rockets to launch satellites.,Active,2408,0,2024-04-14,Debt Financing,Private,$1M to $10M,251-500,6,479000000,"Leonid Capital Partners, Fidelity, Venrock, New Science Ventures, Lynett Capital",8,1,251-500,ABL SPACE SYSTEMS,El Segundo,California,United States
Pixxel,2019,"Aerospace, Geospatial, Information Technology, Satellite Communication","El Segundo, California, United States",90245,Pixxel is a space data company that develops a constellation of hyperspectral earth imaging satellites.,Active,5897,Early Stage Venture,2023-06-01,Series B,Private,$10M to $50M,101-250,8,70980000,"Techstars, Google, Lightspeed Venture Partners, Creative Destruction Lab (CDL), Blume Ventures",28,1,101-250,PIXXEL,El Segundo,California,United States
Prime Lightworks,2015,"Aerospace, Electronics, Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Satellite Communication, Space Travel","Culver City, California, United States",90230,Prime Lightworks Inc. manufactures electric propulsion systems for space satellites.,Active,165881,0,2020-04-22,Non-equity Assistance,Private,Less than $1M,10-Jan,4,120000,"Y Combinator, Los Angeles Cleantech Incubator, Starburst Accelerator, Meyer Global, Ozzy Akay",5,1,10-Jan,PRIME LIGHTWORKS,Culver City,California,United States
Apex - Spacecraft Manufacturing,2022,"Aerospace, Commercial, Manufacturing","Los Angeles, California, United States",90230,Apex manufactures smallsat buses for commercial and government customers.,Active,8060,Early Stage Venture,0,Series B,Private,$1M to $10M,101-250,3,122000000,"Andreessen Horowitz, Lux Capital, 8VC, CRV, Toyota Ventures",28,1,101-250,APEX - SPACECRAFT MANUFACTURING,Los Angeles,California,United States
Pangea Global Technologies,2021,"AgTech, Energy Efficiency, Lighting, Manufacturing, SaaS, Software","Los Angeles, California, United States",90220,Pangea Global Technologies is the nation's leading technology solutions provider and manufacturer of LED lighting.,Active,767147,0,0,0,Private,Less than $1M,101-250,0,0,0,0,1,101-250,PANGEA GLOBAL TECHNOLOGIES,Los Angeles,California,United States
UVertz,2017,"Advertising, Digital Marketing, Information Technology, Marketing, Mobile Apps","Beverly Hills, California, United States",90212,Driving innovation with Ads on the Go.,Active,1492397,0,0,0,Private,0,0,0,0,0,0,1,,UVERTZ,Beverly Hills,California,United States
STEALTH,2017,"Artificial Intelligence (AI), Venture Capital","Los Angeles, California, United States",90210,STEALTH is a one of a kind Venture Studio thats building disruptive companies positioned to fundamentally change existing markets.,Active,1898113,0,0,0,Private,0,51-100,0,0,0,0,1,51-100,STEALTH,Los Angeles,California,United States
Ordermark,2016,"Information Technology, Restaurants, SaaS, Software","Los Angeles, California, United States",90094,Ordermark is a technology platform enabling restaurants to aggregate orders across online ordering services into a single dashboard.,Active,577294,M&A,0,0,Private,$10M to $50M,101-250,0,0,0,0,1,101-250,ORDERMARK,Los Angeles,California,United States
RetailMatch,2015,"Commercial Real Estate, Information Technology, Real Estate","West Hollywood, California, United States",90069,"RetailMatch is a Matchmaker for Tenants, Agents, and Landlords.",Active,3394863,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,RETAILMATCH,West Hollywood,California,United States
K2 Space,2022,"Aerospace, Space Travel","West Hollywood, California, United States",90069,K2 Space focuses on the latest generation of launch vehicles that will open the doors to the solar system.,Active,39957,Seed,0,Seed,Private,$1M to $10M,10-Jan,3,15528471,"First Round Capital, Nitesh Banta, Spacecadet Ventures, Valhalla Ventures, Countdown Capital",10,1,10-Jan,K2 SPACE,West Hollywood,California,United States
Detonation Space,2020,Aerospace,"West Hollywood, California, United States",90069,Detonation Space is a manufacturer of aerospace vehicles.,Active,129893,Seed,2021-06-02,Pre-Seed,Private,0,11-50,1,145000,0,0,1,11-50,DETONATION SPACE,West Hollywood,California,United States
Krypton,2021,"Information Technology, Software","Los Angeles, California, United States",90066,Krypton is the worlds first exchange that provides complete protection against all sources of hidden costs in trading.,Active,45331,Seed,2022-07-13,Seed,Private,$1M to $10M,11-50,1,7000000,"Alliance DAO, Framework Ventures, HashKey Capital, Finality Capital Partners, GSR Ventures",7,1,11-50,KRYPTON,Los Angeles,California,United States
Komodal,2017,"Artificial Intelligence (AI), Blockchain, Information Technology, Predictive Analytics, Supply Chain Management, Transportation","Los Angeles, California, United States",90066,Intelligent solutions for optimized movement of freight,Active,2248020,0,0,0,Private,Less than $1M,10-Jan,0,0,0,0,1,10-Jan,KOMODAL,Los Angeles,California,United States
MSBAI,2017,"Artificial Intelligence (AI), Cloud Computing, Machine Learning, Simulation, Software","Los Angeles, California, United States",90064,MSBAI (Techstars '20) develops GURU  a cognitive AI assistant that enables untrained users to run specialized simulation software.,Active,77450,Seed,2021-07-18,Seed,Private,$1M to $10M,10-Jan,7,3354000,"Techstars, Cleantech Open, Meyer Global",3,1,10-Jan,MSBAI,Los Angeles,California,United States
Driftr,2017,"Hospitality, Information Technology, Property Management, Social Media, Travel, Web Apps","Los Angeles, California, United States",90064,Know Your Worlds Better,Active,3090804,0,0,0,Private,Less than $1M,10-Jan,0,0,0,0,1,10-Jan,DRIFTR,Los Angeles,California,United States
Verdant,2018,"Artificial Intelligence (AI), Biotechnology, Machine Learning","Los Angeles, California, United States",90042,Verdant AI builds artificial intelligence products in the bioinformatics space.,Active,842424,0,0,0,Private,$1M to $10M,10-Jan,0,0,0,0,1,10-Jan,VERDANT,Los Angeles,California,United States
DozeraX Space,2022,"Satellite Communication, Space Travel","Los Angeles, California, United States",90028,"Space, satellite, rockets, Space station",Active,3259614,0,0,0,Private,0,10001+,0,0,0,0,1,10001+,DOZERAX SPACE,Los Angeles,California,United States
QuantumFlow,2015,"Aerospace, Internet of Things, Manufacturing, Military, Space Travel","Los Angeles, California, United States",90027,"QuantumFlow is a manufacturing company that supplies RF, microwave, and millimeter-wave active and passive components.",Active,3079137,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,QUANTUMFLOW,Los Angeles,California,United States
Unite Kitchens,2020,"Information Services, Information Technology, Internet","Los Angeles, California, United States",90026,A community and technology focused kitchen rental services,Active,2529151,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,UNITE KITCHENS,Los Angeles,California,United States
Pinscreen,2015,"Artificial Intelligence (AI), Consumer Applications, Information Technology, Media and Entertainment, Mobile Apps, Photo Editing, Software, Video Games, Virtual Reality","Los Angeles, California, United States",90025,"We build the most advanced Gen-AI technology for VFX and interactive experiences, including visual dubbing, face swaps, and deepfakes.",Active,65785,Seed,2021-08-10,Seed,Private,$1M to $10M,11-50,5,5800000,"Lux Capital, Cerence, SBVA, Colopl Next, Network.VC",6,1,11-50,PINSCREEN,Los Angeles,California,United States
Coral,2018,"Apps, Artificial Intelligence (AI), Consumer Electronics, Electronics, Product Design, Robotics, UX Design","Los Angeles, California, United States",90016,"Coral is a human-centric robotics company, designing robots for people to enhance their everyday lives.",Active,2024670,0,0,0,Private,$10M to $50M,10-Jan,0,0,0,0,1,10-Jan,CORAL,Los Angeles,California,United States
Copernic Space,2020,"Aerospace, Blockchain, Cryptocurrency, Software, Space Travel","Los Angeles, California, United States",90001,Copernic Space allows users to access and manage all space assets in one place.,Active,140351,Seed,2021-11-16,Pre-Seed,Private,Less than $1M,10-Jan,1,150000,Startup Wise Guys,1,1,10-Jan,COPERNIC SPACE,Los Angeles,California,United States
JACAL,2021,"Aerospace, Management Consulting, Military","Reno, Nevada, United States",89521,"JACAL provides engineering, technology, and management services.",Active,2064933,0,0,0,Private,$1M to $10M,10-Jan,0,0,0,0,1,10-Jan,JACAL,Reno,Nevada,United States
Laicos Cloud,2018,"Computer, Information Technology, Software","Las Vegas, Nevada, United States",89135,We offer affordable Cloud and High-Performance Computing to startups and small businesses.,Active,3340390,0,0,0,Private,Less than $1M,10-Jan,0,0,0,0,1,10-Jan,LAICOS CLOUD,Las Vegas,Nevada,United States
Go.Cars,2015,"Domain Registrar, Information Technology","Las Vegas, Nevada, United States",89119,".CARS provides specialized domain names for the automotive industry, enhancing online presence and brand recognition.",Active,1745624,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,GO.CARS,Las Vegas,Nevada,United States
Deimos-One,2020,"Aerospace, Analytics, Artificial Intelligence (AI), Big Data, Remote Sensing, Robotics","Las Vegas, Nevada, United States",89118,Deimos-One designs and develops the worlds most advanced autonomous space vehicles.,Active,707686,0,0,0,Private,$1M to $10M,10-Jan,0,0,0,0,1,10-Jan,DEIMOS-ONE,Las Vegas,Nevada,United States
QUANTUM COPPER INC,2021,"Battery, Chemical, Manufacturing, Plastics and Rubber Manufacturing","Las Vegas, Nevada, United States",89113,Solving the Fire Risk in Lithium Batteries + improving energy Density performance,Active,81237,Seed,2023-07-10,Pre-Seed,Private,0,10-Jan,1,1500000,Battle Born Venture,1,1,10-Jan,QUANTUM COPPER,Las Vegas,Nevada,United States
Space Systems Services,2017,"Aerospace, Business Development, Training","Las Cruces, New Mexico, United States",88011,"Space Systems Services offers direct systems engineering, program management and technical assistance support.",Active,1847406,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,SPACE SYSTEMS SERVICES,Las Cruces,New Mexico,United States
SciVista,2018,"Analytics, Information Technology, Internet of Things","Santa Fe, New Mexico, United States",87507,collaborative virtual reality platforms for data visualization and analysis,Active,103585,0,2019-07-31,Grant,Private,$1M to $10M,10-Jan,1,1000000,0,0,1,10-Jan,SCIVISTA,Santa Fe,New Mexico,United States
X-Bow Launch Systems,2016,"Aerospace, Industrial, Manufacturing","Albuquerque, New Mexico, United States",87110,X-Bow Systems is a space technology company that produces solid rocket motors and hypersonic technologies for defense industries.,Active,8012,Early Stage Venture,2024-07-10,Series B,Private,$10M to $50M,101-250,6,159815880,"Capital Factory, Crosslink Capital, Lockheed Martin Ventures, Razor's Edge Ventures, Balerion Space Ventures",12,1,101-250,X-BOW LAUNCH SYSTEMS,Albuquerque,New Mexico,United States
Katalyst Space Technologies,2019,"Aerospace, Industrial, Space Travel","Prescott, Arizona, United States",86301,"Katalyst Space Technologies revolutionizes satellite operations, space logistics, hardware, and mission design.",Active,83844,Seed,2024-05-07,Seed,Private,Less than $1M,11-50,1,880635,0,0,1,11-50,KATALYST SPACE TECHNOLOGIES,Prescott,Arizona,United States
SGNT,2017,"Consumer Electronics, Electronics, Information Technology","Tucson, Arizona, United States",85747,"Technology startup in the RFID space set to revolutionize how physical goods are secured with our patented Hardware, Saas, and Consulting.",Active,129091,0,2020-05-06,Grant,Private,$1M to $10M,11-50,2,973578,National Science Foundation,1,1,11-50,SGNT,Tucson,Arizona,United States
Asteroids Laboratory,2019,"Aerospace, Life Insurance, Market Research, Space Travel, Technical Support","Tucson, Arizona, United States",85719,"Asteroids Laboratory is an educational institution that provides knowledge on space technology, planetary science, and exploration research.",Active,2010507,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,ASTEROIDS LABORATORY,Tucson,Arizona,United States
Vector Launch,2016,"Aerospace, Space Travel","Tucson, Arizona, United States",85719,Vector offers micro satellite launch services.,Active,21045,Early Stage Venture,2018-10-19,Series B,Private,$1M to $10M,51-100,6,97750000,"Sequoia Capital, Alumni Ventures, Lightspeed Venture Partners, DARPA, DNX Ventures",27,1,51-100,VECTOR LAUNCH,Tucson,Arizona,United States
FreeFall Aerospace,2016,"Aerospace, Internet, Remote Sensing, Satellite Communication, Telecommunications","Tucson, Arizona, United States",85716,FreeFall Aerospace is a developer of antenna technology to provide satellite communications and remote sensing for space and ground.,Active,61479,0,2024-09-10,Debt Financing,Private,$1M to $10M,11-50,4,2100000,UAVenture Capital,1,1,11-50,FREEFALL AEROSPACE,Tucson,Arizona,United States
