contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,potential_total_value_of_award,award_base_action_date,award_base_action_year,current_end_date,awarding_agency_name,awarding_sub_agency_name,funding_agency_name,funding_sub_agency_name,recipient_name,recipient_parent_name,recipient_city_name,recipient_state_code,recipient_zipcode,primary_place_of_performance_city_name,primary_place_of_performance_state_code,award_type,type_of_contract_pricing,product_or_service_code_description,naics_code,naics_description,number_of_offers_received,organizational_type,clean_recipient_name,clean_recipient_parent_name
CONT_AWD_80NSSC20C0456_8000_-NONE-_-NONE-,80NSSC20C0456,124050,124050,124050,2020-08-19,2020,2021-03-01,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,IMPOSSIBLE SENSING LLC,IMPOSSIBLE SENSING LLC,SAINT LOUIS,MO,63118,SAINT LOUIS,MO,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,SOLE PROPRIETORSHIP,IMPOSSIBLE SENSING,IMPOSSIBLE SENSING
CONT_AWD_80NSSC18P2032_8000_-NONE-_-NONE-,80NSSC18P2032,124823,124823,124823,2018-07-20,2018,2019-02-15,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INCOM, INC.","INCOM, INC.",CHARLTON,MA,15075,CHARLTON,MA,PURCHASE ORDER,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INCOM,INCOM
CONT_AWD_80NSSC19C0156_8000_-NONE-_-NONE-,80NSSC19C0156,749555,749555,749555,2019-08-09,2019,2022-01-15,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INCOM, INC.","INCOM, INC.",CHARLTON,MA,15075,CHARLTON,MA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INCOM,INCOM
CONT_AWD_80NSSC19C0486_8000_-NONE-_-NONE-,80NSSC19C0486,124980,124980,124980,2019-08-15,2019,2020-02-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INCOM, INC.","INCOM, INC.",CHARLTON,MA,15075,CHARLTON,MA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INCOM,INCOM
CONT_AWD_80NSSC18P2189_8000_-NONE-_-NONE-,80NSSC18P2189,124983,124983,124983,2018-07-20,2018,2019-02-15,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INDUSTRIAL MEASUREMENT SYSTEMS INC,INDUSTRIAL MEASUREMENT SYSTEMS INC,AURORA,IL,60502,AURORA,IL,PURCHASE ORDER,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INDUSTRIAL MEASUREMENT SYSTEMS,INDUSTRIAL MEASUREMENT SYSTEMS
CONT_AWD_80NSSC18P2075_8000_-NONE-_-NONE-,80NSSC18P2075,124791,124791,124791,2018-07-23,2018,2019-02-15,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INERTIALWAVE INC,INERTIALWAVE INC,MANHATTAN BEACH,CA,90266,MANHATTAN BEACH,CA,PURCHASE ORDER,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INERTIALWAVE,INERTIALWAVE
CONT_AWD_80NSSC19C0180_8000_-NONE-_-NONE-,80NSSC19C0180,748948,748948,748948,2019-08-12,2019,2022-02-11,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INERTIALWAVE INC,INERTIALWAVE INC,MANHATTAN BEACH,CA,90266,MANHATTAN BEACH,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INERTIALWAVE,INERTIALWAVE
CONT_AWD_N6600122C4015_9700_-NONE-_-NONE-,N6600122C4015,225000,225000,225000,2022-02-10,2022,2022-09-21,Department of Defense,Department of the Navy,Department of Defense,Defense Advanced Research Projects Agency,INFERLINK CORP,INFERLINK CORP,EL SEGUNDO,CA,90245,EL SEGUNDO,CA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",1,CORPORATE NOT TAX EXEMPT,INFERLINK,INFERLINK
CONT_AWD_N6600123C4031_9700_-NONE-_-NONE-,N6600123C4031,1182025,1182025,1700000,2023-02-27,2023,2024-11-30,Department of Defense,Department of the Navy,Department of Defense,Defense Advanced Research Projects Agency,INFERLINK CORP,INFERLINK CORP,EL SEGUNDO,CA,90245,EL SEGUNDO,CA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",1,CORPORATE NOT TAX EXEMPT,INFERLINK,INFERLINK
CONT_AWD_80NSSC19C0298_8000_-NONE-_-NONE-,80NSSC19C0298,124814,124814,124814,2019-08-19,2019,2020-02-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INFIBERTECH, CORP","INFIBERTECH, CORP",SHARON,MA,20671,SHARON,MA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INFIBERTECH,INFIBERTECH
CONT_AWD_80NSSC20C0174_8000_-NONE-_-NONE-,80NSSC20C0174,747620,747620,747620,2020-06-03,2020,2023-03-02,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INFIBERTECH, CORP","INFIBERTECH, CORP",SHARON,MA,20671,SHARON,MA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INFIBERTECH,INFIBERTECH
CONT_AWD_80NSSC20C0266_8000_-NONE-_-NONE-,80NSSC20C0266,124937,124937,124937,2020-08-05,2020,2021-03-01,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INFIBERTECH, CORP","INFIBERTECH, CORP",SHARON,MA,20671,SHARON,MA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INFIBERTECH,INFIBERTECH
CONT_AWD_80NSSC19C0417_8000_-NONE-_-NONE-,80NSSC19C0417,124102,124102,124102,2019-08-19,2019,2020-02-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INFINITE COMPOSITES, INC","INFINITE COMPOSITES, INC",TULSA,OK,74146,TULSA,OK,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,PARTNERSHIP,INFINITE COMPOSITES,INFINITE COMPOSITES
CONT_AWD_FA822219C5004_9700_-NONE-_-NONE-,FA822219C5004,358910,358910,358910,2019-09-17,2019,2022-12-16,Department of Defense,Department of the Air Force,Department of Defense,Department of the Air Force,"INFINITE TECHNOLOGIES, INC.","INFINITE TECHNOLOGIES, INC.",EL DORADO HILLS,CA,95762,EL DORADO HILLS,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",1,CORPORATE NOT TAX EXEMPT,INFINITE TECHNOLOGIES,INFINITE TECHNOLOGIES
CONT_AWD_80NSSC19C0053_8000_-NONE-_-NONE-,80NSSC19C0053,2026850,2026850,2026850,2019-05-20,2019,2025-04-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INFINITY FUEL CELL AND HYDROGEN, INC.","INFINITY FUEL CELL AND HYDROGEN, INC.",WINDSOR,CT,60951,WINDSOR,CT,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INFINITY FUEL CELL AND HYDROGEN,INFINITY FUEL CELL AND HYDROGEN
CONT_AWD_80NSSC18C0081_8000_-NONE-_-NONE-,80NSSC18C0081,754931,754931,754931,2018-06-23,2018,2021-06-23,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOFLIGHT, LLC","INNOFLIGHT, LLC",SAN DIEGO,CA,92121,SAN DIEGO,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOFLIGHT,INNOFLIGHT
CONT_AWD_80NSSC18C0155_8000_-NONE-_-NONE-,80NSSC18C0155,164946,164946,164946,2018-08-30,2018,2019-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOFLIGHT, LLC","INNOFLIGHT, LLC",SAN DIEGO,CA,92121,SAN DIEGO,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOFLIGHT,INNOFLIGHT
CONT_AWD_80NSSC18C0004_8000_-NONE-_-NONE-,80NSSC18C0004,631494,631494,631494,2017-11-06,2018,2019-08-06,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOFLIGHT, LLC","INNOFLIGHT, LLC",SAN DIEGO,CA,92121,SAN DIEGO,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOFLIGHT,INNOFLIGHT
CONT_AWD_80NSSC19C0232_8000_-NONE-_-NONE-,80NSSC19C0232,636843,636843,636843,2019-07-16,2019,2020-07-31,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOFLIGHT, LLC","INNOFLIGHT, LLC",SAN DIEGO,CA,92121,SAN DIEGO,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOFLIGHT,INNOFLIGHT
CONT_AWD_80NSSC19C0600_8000_-NONE-_-NONE-,80NSSC19C0600,124938,124938,124938,2019-08-19,2019,2020-02-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOFLIGHT, LLC","INNOFLIGHT, LLC",SAN DIEGO,CA,92121,SAN DIEGO,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOFLIGHT,INNOFLIGHT
CONT_AWD_FA865019C9209_9700_-NONE-_-NONE-,FA865019C9209,2999882,2999882,2999882,2019-03-12,2019,2022-06-14,Department of Defense,Department of the Air Force,Department of Defense,Department of the Air Force,"INNOFLIGHT, LLC","INNOFLIGHT, LLC",SAN DIEGO,CA,92121,SAN DIEGO,CA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",1,CORPORATE NOT TAX EXEMPT,INNOFLIGHT,INNOFLIGHT
CONT_AWD_80NSSC19C0506_8000_-NONE-_-NONE-,80NSSC19C0506,124857,124857,124857,2019-08-16,2019,2020-02-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOFLIGHT, LLC","INNOFLIGHT, LLC",SAN DIEGO,CA,92121,SAN DIEGO,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOFLIGHT,INNOFLIGHT
CONT_AWD_80NSSC20C0628_8000_-NONE-_-NONE-,80NSSC20C0628,124991,124991,124991,2020-08-27,2020,2021-03-01,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOFLIGHT, LLC","INNOFLIGHT, LLC",SAN DIEGO,CA,92121,SAN DIEGO,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOFLIGHT,INNOFLIGHT
CONT_AWD_80NSSC20C0075_8000_-NONE-_-NONE-,80NSSC20C0075,636445,636445,636445,2020-07-08,2020,2022-01-25,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOFLIGHT, LLC","INNOFLIGHT, LLC",SAN DIEGO,CA,92121,SAN DIEGO,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOFLIGHT,INNOFLIGHT
CONT_AWD_80NSSC20C0240_8000_-NONE-_-NONE-,80NSSC20C0240,1090047,1090047,1090047,2020-07-07,2020,2022-05-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOFLIGHT, LLC","INNOFLIGHT, LLC",SAN DIEGO,CA,92121,SAN DIEGO,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOFLIGHT,INNOFLIGHT
CONT_AWD_80NSSC18C0082_8000_-NONE-_-NONE-,80NSSC18C0082,749999,749999,749999,2018-05-14,2018,2021-05-13,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INNOSENSE CORPORATION,INNOSENSE CORPORATION,TORRANCE,CA,90505,TORRANCE,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,PARTNERSHIP,INNOSENSE,INNOSENSE
CONT_AWD_80NSSC20C0321_8000_-NONE-_-NONE-,80NSSC20C0321,124999,124999,124999,2020-08-25,2020,2021-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INNOSENSE CORPORATION,INNOSENSE CORPORATION,TORRANCE,CA,90505,TORRANCE,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,PARTNERSHIP,INNOSENSE,INNOSENSE
CONT_AWD_80NSSC20C0318_8000_-NONE-_-NONE-,80NSSC20C0318,124998,124998,124998,2020-08-24,2020,2021-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INNOSENSE CORPORATION,INNOSENSE CORPORATION,TORRANCE,CA,90505,TORRANCE,CA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,PARTNERSHIP,INNOSENSE,INNOSENSE
CONT_AWD_80NSSC19C0515_8000_-NONE-_-NONE-,80NSSC19C0515,124990,124990,124990,2019-08-19,2019,2020-02-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOSYS, INC.","INNOSYS, INC.",SALT LAKE CITY,UT,84115,SALT LAKE CITY,UT,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOSYS,INNOSYS
CONT_AWD_80NSSC20C0284_8000_-NONE-_-NONE-,80NSSC20C0284,124989,124989,124989,2020-08-11,2020,2021-03-01,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"INNOSYS, INC.","INNOSYS, INC.",SALT LAKE CITY,UT,84115,SALT LAKE CITY,UT,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOSYS,INNOSYS
CONT_AWD_80NSSC19C0023_8000_-NONE-_-NONE-,80NSSC19C0023,165205,165205,165205,2019-03-07,2019,2021-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INNOVAPREP LLC,INNOVAPREP LLC,DREXEL,MO,64742,DREXEL,MO,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,PARTNERSHIP,INNOVAPREP,INNOVAPREP
CONT_AWD_80NSSC19C0460_8000_-NONE-_-NONE-,80NSSC19C0460,117209,117209,117209,2019-08-07,2019,2020-02-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INNOVATIVE AEROSPACE LLC,INNOVATIVE AEROSPACE LLC,SOUTHWICK,MA,10779,SOUTHWICK,MA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,PARTNERSHIP,INNOVATIVE AEROSPACE,INNOVATIVE AEROSPACE
CONT_AWD_80NSSC20C0489_8000_-NONE-_-NONE-,80NSSC20C0489,124941,124941,124941,2020-08-27,2020,2021-03-01,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INNOVATIVE DYNAMICS INC.,INNOVATIVE DYNAMICS INC.,ITHACA,NY,14850,ITHACA,NY,DEFINITIVE CONTRACT,FIRM FIXED PRICE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOVATIVE DYNAMICS,INNOVATIVE DYNAMICS
CONT_AWD_80NSSC18C0083_8000_-NONE-_-NONE-,80NSSC18C0083,755000,755000,755000,2018-04-18,2018,2020-10-17,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INNOVATIVE IMAGING & RESEARCH CORP,INNOVATIVE IMAGING & RESEARCH CORP,STENNIS SPACE CENTER,MS,39529,STENNIS SPACE CENTER,MS,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOVATIVE IMAGING RESEARCH,INNOVATIVE IMAGING RESEARCH
CONT_AWD_80NSSC20C0462_8000_-NONE-_-NONE-,80NSSC20C0462,124997,124997,124997,2020-08-25,2020,2021-03-01,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,INNOVATIVE IMAGING & RESEARCH CORP,INNOVATIVE IMAGING & RESEARCH CORP,STENNIS SPACE CENTER,MS,39529,STENNIS SPACE CENTER,MS,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",500,CORPORATE NOT TAX EXEMPT,INNOVATIVE IMAGING RESEARCH,INNOVATIVE IMAGING RESEARCH
