company_name,year_founded,industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,acquired_by,acquired_price,ipo_status,ipo_valuation,ipo_date,growth_confidence,growth_category,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors
nScribe Technologies,2019,"Artificial Intelligence (AI), Customer Service, Information Technology, Machine Learning, Marketing Automation, Natural Language Processing, Software","San Francisco, California, United States",94107,AI-Powered Email Automation and Text Generation,Active,1804829,,2020-06-02,Non-equity Assistance,,,Private,,,,,,11-50,1,,Creative Destruction Lab (CDL),1
Planet Electric Inc,2023,"Advanced Materials, Automotive, Electric Vehicle, Manufacturing","San Francisco, California, United States",94107,Materials Innovation Company and Automotive Manufacturing,Active,110881,Seed,,Pre-Seed,,,Private,,,,,,10-Jan,1,250000,,
Send Reality,2018,"Computer Vision, Information Technology, Real Estate, Virtual Reality","San Francisco, California, United States",94105,"Send Reality enables anyone to capture a 3D model of any space, starting with real estate.",Active,2168247,Seed,2018-07-25,Seed,,,Private,,,,,Less than $1M,10-Jan,1,,"Y Combinator, Soma Capital, Paul Buchheit",3
ZMassWalls,2018,"Artificial Intelligence (AI), Energy, Manufacturing, Renewable Energy","San Francisco, California, United States",94105,Digital design and ordering system for energy efficient wall system,Closed,3319864,Seed,2018-08-01,Seed,,,Private,,,,,,10-Jan,1,,,
HealthMode,2017,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, Pharmaceutical","San Francisco, California, United States",94104,"HealthMode delivers AI-enabled digital measurement methods to increase the precision and speed of clinical research, and improve healthcare.",Active,96876,M&A,2017-10-01,Seed,MindMed,"CA$41,300,000",Private,,,,,$10M to $50M,10-Jan,1,3500000,"DCVC, Promus Ventures",2
Air Space Intelligence,2018,"Aerospace, Software","San Francisco, California, United States",94104,A software-first aerospace company.,Active,17158,Early Stage Venture,2023-12-07,Series B,,,Private,,,,Growing,$1M to $10M,51-100,3,34000000,"Andreessen Horowitz, Gradient, Franklin Templeton, XYZ Venture Capital, Village Global",13
Heliux,2023,"Aerospace, Artificial Intelligence (AI), Clean Energy, Industrial, Manufacturing, Robotics, Software, Space Travel","San Francisco, California, United States",94104,The Enterprise Operating System for Industrials,Active,73938,Seed,,Pre-Seed,,,Private,,,,,,10-Jan,1,2265000,"Lux Capital, New Stack Ventures, Crosscut Ventures, Amplify.LA, Countdown Capital",5
AI Insurance,2018,"Artificial Intelligence (AI), Insurance, InsurTech, Software","San Francisco, California, United States",94104,"AI Insurance is an insurance management platform that manages policies, claims, and insurance services.",Active,75615,Seed,2022-03-01,Seed,,,Private,,,,,$1M to $10M,11-50,3,4950000,"Y Combinator, Haymaker Ventures, MAGIC Fund, Green Visor Capital, Authentic Ventures",5
Basalt Tech,2023,"Aerospace, Industrial Automation, Space Travel","San Francisco, California, United States",94103,Basalt Tech is a spacecraft software company that helps to produce optimized instructions for fleets of spacecraft.,Active,69144,Seed,,Seed,,,Private,,,,Growing,,10-Jan,2,4000000,"Y Combinator, Initialized Capital, SBXi",3
Paubox,2015,"Cloud Security, Email, Enterprise Software, Health Care, Information Technology","San Francisco, California, United States",94103,HIPAA compliant email and text made easy.,Active,37431,,2022-08-18,Venture - Series Unknown,,,Private,,,,Growing,$1M to $10M,11-50,5,14800000,"500 Global, Arthur Ventures",2
Space Cooperative,2016,"Aerospace, Collaboration, Developer Platform","San Francisco, California, United States",94102,Space Cooperative is a worker-owned cooperative developing a social collaboration platform.,Active,2979671,,,,,,Private,,,,,,10-Jan,,,,
Routefire,2017,"Cryptocurrency, Information Technology, Trading Platform","San Francisco, California, United States",94102,Routefire is a provider of trade execution infrastructure in the digital asset space.,Active,3344263,M&A,2018-01-01,Seed,Coinbase,,Private,,,,,Less than $1M,10-Jan,1,,FJ Labs,1
UFO,2022,"Aerospace, Blockchain, Data Center, Government, Military, Satellite Communication, Space Travel","Sunnyvale, California, United States",94089,"Engineering support services, rapid research and development, integration & test services and engineering consulting",Active,2163748,,,,,,Private,,,,,Less than $1M,11-50,,,,
Motivo,2015,"Analytics, Artificial Intelligence (AI), Information Technology, Software","Sunnyvale, California, United States",94086,Motivo uses advanced analytics and AI to help fabless design companies.,Active,37299,Early Stage Venture,2021-08-12,Series A,,,Private,,,,,Less than $1M,11-50,4,20531861,"Intel Capital, Storm Ventures, Inventus Capital Partners, Seraph Group",4
Bovlabs Inc,2017,"Energy, Information Technology, Solar","Sunnyvale, California, United States",94085,"Empowering community for self-reliant energy by creating a market place to trade peer to peer, with low transaction cost and high security",Active,2445022,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Watch Space,2023,Information Technology,"Sunnyvale, California, United States",94085,Watch Space is a technology company.,Active,104314,Seed,,Seed,,,Private,,,,,$1M to $10M,11-50,1,500000,,
OrbitsHub,2021,"Aerospace, Artificial Intelligence (AI), Machine Learning, Satellite Communication, Software, Space Travel","San Francisco, California, United States",94080,OrbitsHub is a technology startup providing Tracking and Monitoring solutions using Artificial Intelligence & Machine Learning tools.,Active,1235013,,,,,,Private,,,,,,11-50,,,,
Mytra,2022,"Artificial Intelligence (AI), Industrial Automation, Robotics, Supply Chain Management, Warehousing","South San Francisco, California, United States",94080,Mytra is a robotics company developing software-defined warehouse robotics solutions to automate industrial tasks in logistics.,Active,5021,Early Stage Venture,,Series B,,,Private,,,,,$1M to $10M,51-100,3,78000000,"Promus Ventures, Greenoaks, Eclipse Ventures, 515 Ventures",4
Around,2018,"Artificial Intelligence (AI), Video Conferencing","Redwood City, California, United States",94063,Radically unique video calls for modern teams.,Active,50160,Early Stage Venture,2021-03-02,Series A,,,Private,,,,,$1M to $10M,11-50,3,15200000,"Wing Venture Capital, Initialized Capital, Forerunner, Naval Ravikant, Credo Ventures",14
NASA,2015,"Aerospace, Artificial Intelligence (AI), Machine Learning, Software","Mountain View, California, United States",94043,NASA FDL specializes in artificial intelligence with research and development services for space science to solve complex challenges.,Active,1117788,,,,,,Private,,,,,$10M to $50M,251-500,,,,
SpaceIQ,2016,"Business Development, Cloud Data Services, Commercial Real Estate, Facility Management, Information Technology, Real Estate, SaaS, Software","Mountain View, California, United States",94043,SpaceIQ is an innovative technology driven software company that provides cloud-based workplace management platform.,Active,53288,M&A,2021-09-21,Venture - Series Unknown,iOFFICE + SpaceIQ,,Private,,,,Growing,$1M to $10M,101-250,4,11500000,"Vertex Ventures, Bullpen Capital, Vertex Ventures US, Xplorer Capital, Visionnaire Ventures",7
APURUN,2023,"Biopharma, Biotechnology, Life Science, Manufacturing, Pharmaceutical","Mountain View, California, United States",94043,"Pharmaceutical Technology, Biotechnology, Nanomedicines, Pharmaceutical Development and Manufacturing (CDMO)",Active,147203,Seed,,Seed,,,Private,,,,,,10-Jan,1,20000,,
Megagon Labs,2016,"Artificial Intelligence (AI), Recruiting","Mountain View, California, United States",94041,"Megagon Labs is an innovation hub within Recruit Co., Ltd. under Recruit Holdings.",Active,397339,,,,,,Private,,,,Growing,$1M to $10M,11-50,,,,
ASKA,2018,"Aerospace, Air Transportation","Mountain View, California, United States",94041,Developer of the ASKA™ A5 drive & fly eVTOL - Flying Car,Active,1274258,,,,,,Private,,,,,$100M to $500M,10-Jan,,,,
Orbital Outpost X,2021,"Aerospace, Manufacturing","Mountain View, California, United States",94040,Orbital Outpost X building the space infrastructure of the future to enable the development of LEO as a stepping stone for colonizing space.,Active,85526,,2023-05-09,Convertible Note,,,Private,,,,,$1M to $10M,11-50,2,5000000,"Space Infrastructures Ventures, NASA Orbital Alchemy Challenge",2
Audacy,2015,"Aerospace, Internet, Telecommunications","Mountain View, California, United States",94040,Audacy is a space communications service provider enabling continuous satellite and launch vehicle connectivity.,Closed,73742,M&A,2019-03-30,Convertible Note,"EOS Defense Systems USA, Inc. (EOS)",,Private,,,,,$1M to $10M,11-50,4,13127172,"Horizon Technology Finance, Eight Roads Ventures, AME Cloud Ventures, DHVC, InnoSpring Seed Fund",13
EOS Data Analytics,2015,"Analytics, Geospatial, Information Technology, Software","Menlo Park, California, United States",94027,EOS Data Analytics (EOSDA) is a global provider of AI-powered satellite imagery analytics founded by Dr. Max Polyakov.,Active,93929,Seed,2020-08-27,Grant,,,Private,,,,Growing,$10M to $50M,501-1000,3,1354623,"Noosphere Ventures, Horizon 2020",2
LeoLabs,2016,"Aerospace, Database, Mapping Services, Software","Menlo Park, California, United States",94025,LeoLabs is an aerospace company that supplies and provides low Earth orbit mapping and space situational awareness services.,Active,8604,,2024-02-12,Venture - Series Unknown,,,Private,,,,Growing,$1M to $10M,101-250,7,111000000,"AngelList, Insight Partners, Horizons Ventures, GP Bullhound, Dolby Family Ventures",19
TheCapitalNet,2018,"Enterprise Applications, FinTech, Information Technology, Innovation Management, SaaS, Software, Venture Capital","Menlo Park, California, United States",94025,"TheCapitalNet is a SaaS company driving digital transformation in the Alternative investments, innovation, and startup ecosystem.",Active,99285,Seed,2018-07-25,Seed,,,Private,,,,,Less than $1M,11-50,1,500000,Lindwall Family Investments LLC,1
Beyond Earth,2018,"Aerospace, Space Travel","Menlo Park, California, United States",94025,Beyond Earth builds small rockets to provide dedicated CubeSat launches to low-earth-orbit on short notice.,Active,183151,Seed,2019-08-08,Seed,,,Private,,,,,,11-50,2,50000,Fred Radford,1
Antaris,2021,"Information Technology, SaaS, Space Travel","Los Altos, California, United States",94022,"Antaris is a digital space platform that simplifies the design, simulation, and operation of satellites.",Active,40636,Seed,2023-09-06,Seed,,,Private,,,,,$1M to $10M,11-50,3,7700000,"Possible Ventures, Streamlined Ventures, Acequia Capital (AceCap), HCVC, E2MC Ventures",9
OZ FundHub,2022,"Financial Services, Funding Platform, Information Technology","Los Altos Hills, California, United States",94022,OZ FundHub is an opportunity zone fund resource center.,Active,1205939,,,,,,Private,,,,,,10-Jan,,,,
LifeLine.vet AI (SDVOSB),2023,"Artificial Intelligence (AI), Generative AI, Government, Law Enforcement, Mental Health, Military, Psychology, Space Travel","Monterey, California, United States",93940,"AI Mental Health Crisis Detection & Intervention to reduce & prevent; veteran & civilian suicide, homicide, mass violence & sexual offenses.",Active,148818,Seed,,Pre-Seed,,,Private,,,,,,10-Jan,1,70000,"PiQWell, Trisha Houghton",2
Maverick Space Systems,2019,"Aerospace, Electronics, Space Travel","San Luis Obispo, California, United States",93401,Maverick Space Systems offers satellite deployment hardware as well as integration and launch brokering services.,Active,120969,,2020-08-07,Grant,,,Private,,,,,Less than $1M,10-Jan,1,275973,National Science Foundation,1
Mentium Technologies,2017,"Artificial Intelligence (AI), Semiconductor","Santa Barbara, California, United States",93106,"Mentium develops co-processors for AI at the Edge, specializing in mission-critical applications, both on ground and in Space.",Active,70162,Seed,2023-08-01,Seed,,,Private,,,,,$1M to $10M,10-Jan,5,7194586,"National Science Foundation, NASA, Unpopular Ventures, Santa Barbara Angel Alliance",4
Valitus Technologies,2015,"Aerospace, National Security, Security, Software","Corona, California, United States",92880,"Valitus Technologies offers engineering, commissioning, implementation and maintenance services to defense and space sector.",Active,861853,,,,,,Private,,,,,Less than $1M,11-50,,,,
Prism Aerospace,2016,"Aerospace, Consulting, Machinery Manufacturing, Manufacturing","Corona, California, United States",92879,"Prism Aerospace is a leader in aero-structure manufacturing for military, space, and commercial aerospace customers.",Active,994630,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Karman Missile & Space Systems,2021,"Information Technology, Manufacturing, Space Travel","Brea, California, United States",92821,"Karman is a platform designed to deliver enhanced capacity, supply chain solutions, and engineering technology on the most critical.",Active,2604716,,2020-08-28,Venture - Series Unknown,,,Private,,,,,,501-1000,1,,Trive Capital Holdings,1
Con X Innovation,2018,"Aerospace, Industrial, Manufacturing, Product Design","Santa Ana, California, United States",92705,"Con X Innovations specializes in product innovations for Aerospace, Space, Ground Power, and Commercial industries.",Active,2176634,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Data Services Partners,2016,"Health Care, Information Technology, Software","Ladera Ranch, California, United States",92694,Data Services Partners is a software development startup in the healthcare space.,Active,501074,,,,,,Private,,,,,$10M to $50M,10-Jan,,,,
Karman Space & Defense,2021,"Aerospace, Manufacturing, Space Travel","Huntington Beach, California, United States",92649,"Karman Space & Defense offers production solutions for hypersonics, spacecraft, launch vehicles, missiles, and integrated defense systems.",Active,273160,,,,,,Private,,,,Growing,$50M to $100M,501-1000,,,,
E8 Engineering,2018,"Aerospace, Manufacturing, Supply Chain Management","Huntington Beach, California, United States",92647,"E8 Engineering provides program management, supplier management, and supplier quality technical resources and systems.",Active,2783855,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Preferred Depot,2015,"Consulting, Information Technology, Logistics","Irvine, California, United States",92620,"Preferred Depot offers businesses expanding in the North American market with consulting, tech support, logistic services, and more.",Active,1411893,,,,,,Private,,,,,$10M to $50M,10-Jan,,,,
Turion Space,2020,"Aerospace, Information Technology, Space Travel","Irvine, California, United States",92618,Turion Space provides space domain awareness data and space logistic services.,Active,38138,Seed,2022-03-01,Seed,,,Private,,,,Growing,$1M to $10M,11-50,3,7825000,"Y Combinator, Gaingels, Soma Capital, Mercury, Angel Collective Opportunity Fund",31
Tru - Stats,2015,"Analytics, Artificial Intelligence (AI), Fraud Detection","Irvine, California, United States",92612,Tru-Stats provides automated fraud detection and hyper data tracking solutions.,Active,2770059,,,,,,Private,,,,,,10-Jan,,,,
NxTgen Infrastructure Services LLC,2017,"GovTech, Information Services, Information Technology, SaaS, Software, Wired Telecommunications","Irvine, California, United States",92612,"Purpose-built, SaaS to reserve, database, map, and manage Muni 5G and Smart service requirements on public and private assets.",Active,2135505,,,,,,Private,,,,,,10-Jan,,,,
PathFree Technologies Corporation,2021,"Health Care, Manufacturing, Medical, Software, Training","Irvine, California, United States",92612,AI / Machine Learning / Medical Device Manufacturer,Active,506112,,,,,,Private,,,,,,11-50,,,,
Frontline Machining,2017,"Commercial, Machinery Manufacturing, Manufacturing","Riverside, California, United States",92508,"Frontline Machining is a machine shop that specializes in difficult materials and parts for the space, medical, and defense industries.",Active,1780957,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Back Porch Homes,2018,"Finance, Manufacturing, Real Estate","Riverside, California, United States",92504,"Back Porch Homes manufactures, sells, finances, and places tiny homes on large single-family home lots as secondary units.",Active,157351,Seed,2018-12-01,Seed,,,Private,,,,,$1M to $10M,11-50,1,350000,,
Fenix Space,2017,"Industrial, Information Technology, Space Travel","San Bernardino, California, United States",92408,Fenix Space is a revolutionary platform that provides responsive and flexible launch-on-demand services at rideshare prices.,Active,174912,Seed,2022-09-09,Pre-Seed,,,Private,,,,,Less than $1M,10-Jan,1,20000,Techstars,1
"Active Atom, LLC",2017,"Manufacturing, Product Design","Yucca Valley, California, United States",92284,Precision Machining,Active,863166,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Additive Rocket Corporation,2015,"Aerospace, Manufacturing","San Diego, California, United States",92161,ARC leverages advanced simulation & metal printing to create highly optimized propulsion systems for the space/defense industries.,Closed,97956,Seed,2019-05-16,Seed,,,Private,,,,,Less than $1M,10-Jan,3,1470000,"Techstars, Contrary, Ross Mason, Silicon Balls",4
Vistry,2020,"Artificial Intelligence (AI), Internet of Things, Machine Learning, Restaurants, SaaS, Software","San Diego, California, United States",92130,"SaaS, Conversational AI Platform for Enterprise Operations",Active,173468,,,,,,Private,,,,,,11-50,,,,
Voyager Space Technologies,2017,"3D Printing, CRM, Information Technology, Manufacturing, Software, Virtual Reality","San Diego, California, United States",92122,"Space, Defense, Software, SaaS, Design, New Space",Closed,3025964,,2019-06-10,Non-equity Assistance,,,Private,,,,,,10-Jan,2,,"Creative Destruction Lab (CDL), Nex Cubed",2
"Value Viewpoint, Inc.",2023,"Information Technology, Management Consulting, Software","San Diego, California, United States",92122,Value Viewpoint is a SaaS platform that enables technology companies to showcase economical benefits of their solutions.,Active,852645,,,,,,Private,,,,,,10-Jan,,,,
XOKind,2019,"Artificial Intelligence (AI), Machine Learning, Software","San Diego, California, United States",92121,"XOKind is an AI startup, formed with the mission of simplifying human planning and decision.",Closed,102292,Seed,2019-12-12,Pre-Seed,,,Private,,,,,,10-Jan,1,3600000,"Section 32, Adam D’Angelo, Naveen Rao, Frederic Kerrest, Avid Larizadeh",11
Capture2,2015,"Business Development, Business Intelligence, Government, Information Services, Information Technology, Software","San Diego, California, United States",92108,A software startup Based in San Diego.,Active,63041,Early Stage Venture,2018-06-06,Series A,,,Private,,,,,$1M to $10M,10-Jan,1,4000000,Mithril Capital Management,1
NiftyKit,2020,"Apps, Cryptocurrency, E-Commerce, Information Technology, Internet, Marketing, Marketplace, Non-Fungible Token (NFT), SaaS, Software","San Diego, California, United States",92108,"The Easiest Way to Create, Manage and Sell NFTs.",Active,299495,,,,,,Private,,,,Growing,$1M to $10M,11-50,,,,
DragonGlass,2018,"Blockchain, Data Center, Information Services, Information Technology, Manufacturing, Product Design","San Diego, California, United States",92101,DragonGlass is a hardware design and manufacturing company for the Blockchain and Cloud Computing space.,Active,3026999,,,,,,Private,,,,,,10-Jan,,,,
Water Vision Technology,2017,"Information Technology, Water, Water Transportation","San Diego, California, United States",92101,Water Vision Technology uses satellites to detect treated water leaks underground in urban and nonurban water systems.,Active,3152903,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Amkom Design Group,2016,"Manufacturing, Satellite Communication, Telecommunications","Vista, California, United States",92081,"Amkom Design Group specializes in the manufacture and supply of telecommunication solutions for military, commercial and space markets.",Active,1244842,,,,,,Private,,,,,Less than $1M,11-50,,,,
Vector Space Biosciences,2018,"Artificial Intelligence (AI), Biotechnology, Machine Learning","La Jolla, California, United States",92037,"Vector Space Biosciences develops tools for space biosciences research, including data pipelines and visualization.",Active,261971,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Global Air Logistics and Training,2015,"Aerospace, Space Travel","Del Mar, California, United States",92014,Global Air Logistics and Training is an innovative airborne systems delivering warfighter focused solutions.,Active,474088,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Tinoro,2015,"Biotechnology, Health Care, Manufacturing","Carlsbad, California, United States",92008,"?Tinoro is developing a new, non-thermal technology which uses electric field induced pH changes to amplify DNA.",Active,3425918,Seed,2016-11-01,Seed,,,Private,,,,,$1M to $10M,10-Jan,1,,Analytics Ventures,1
Product Revolution Consulting,2017,"Biotechnology, Consulting, Electronics, Finance, Manufacturing, Medical","San Diego, California, United States",91915,"So That Pioneers Succeed. Consulting Firm focusing on product commercialization, in hard tech and disruptive technology",Closed,3339635,,1917-07-17,Debt Financing,,,Private,,,,,,10-Jan,1,250000,Daniel O'Leary,1
ChatMap,2015,"Apps, Information Technology, Location Based Services, Robotics, Software","Walnut, California, United States",91789,Talk and plan with your team on a shared map.,Closed,3377786,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Bronco Space,2019,"Aerospace, Technical Support, Training","Pomona, California, United States",91768,Bronco Space is a defence and space company that provides technical and programmatic training services.,Active,1739187,,,,,,Private,,,,,,11-50,,,,
PE Stack,2018,"Financial Services, Information Technology, Software","Westlake Village, California, United States",91367,PE Stack is to provide transparency around private capital software and data technology.,Active,1338269,M&A,,,Holland Mountain,,Private,,,,,,10-Jan,,,,
Occuspace,2017,"Commercial Real Estate, Facilities Support Services, Facility Management, Information Technology, Smart Building, Software","Westlake Village, California, United States",91361,The world's easiest and most scalable occupancy monitoring technology. Helping organizations understand and improve their physical spaces.,Active,51086,Seed,2023-08-24,Seed,,,Private,,,,Growing,$1M to $10M,11-50,2,3600000,"Shadow Ventures, Okapi Venture Capital, Cove Fund, Hamilton Ventures, Sunriver Ventures",5
TransAstra,2015,"Aerospace, Industrial, Software, Space Travel","Los Angeles, California, United States",91331,"TransAstra develops a technology to find, prospect, harvest and use space resources.",Active,43489,Seed,2021-09-10,Seed,,,Private,,,,,$1M to $10M,11-50,4,7025000,"Y Combinator, Soma Capital, NASA, Side Door Ventures, Global Founders Capital",16
Terray Therapeutics,2018,"Artificial Intelligence (AI), Biopharma, Biotechnology, Life Science, Medical","Pasadena, California, United States",91107,Terray Therapeutics is a biotechnology company that transforms small molecule drug discovery.,Active,550,Early Stage Venture,2024-10-17,Series B,,,Private,,,,Growing,$10M to $50M,51-100,6,200000000,"NVentures, Digitalis Ventures, Two Sigma Ventures, Alexandria Venture Investments, Maverick Capital",17
Radial Space,2019,"Aerospace, Electronics, Manufacturing","Pasadena, California, United States",91107,"Radial Space develops RF electronics modules for SmallSat applications, focusing on cost-effectiveness.",Active,1941484,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Continuum Space Systems,2021,"Aerospace, Management Information Systems, Space Travel","Pasadena, California, United States",91101,Continuum Space built the Unified Mission Management SaaS platform for planning and executing space missions with less time and cost,Active,49885,Seed,2023-06-22,Seed,,,Private,,,,,$1M to $10M,11-50,2,6000000,"Unlock Venture Partners, Freeflow Ventures, Mandala Space Ventures, Explorer 1 Fund, Prophetic Capital Partners",5
Vestigo Aerospace,2019,Satellite Communication,"La Canada Flintridge, California, United States",91011,"Vestigo Aerospace provides deorbit capability for cubeSats, small satellites, and launch vehicle stages.",Active,115735,Seed,2022-08-16,Grant,,,Private,,,,,,10-Jan,2,750000,"Manhattan West, Nasa Small Business Innovation Research / Small Business Technology Transfer",2
OffWorld,2016,"Artificial Intelligence (AI), Industrial Automation, Mining Technology, Robotics, Space Travel","Altadena, California, United States",91001,"OffWorld is developing AI-powered rugged robots for heavy industrial jobs in the mining, infrastructure, and space sectors.",Active,51172,Seed,2022-02-24,Grant,,,Private,,,,,$1M to $10M,51-100,2,4252433,"National Science Foundation, Starbridge Venture Capital",2
Rentado,2019,"Information Technology, Market Research, Real Estate, Rental, Rental Property, Software","Long Beach, California, United States",90815,"A Secure Renter to Landlord Mobile and CRM linked-ecosystem that enables payments, social, maintenance requests and access, and more.",Active,1323737,Seed,2022-11-01,Pre-Seed,,,Private,,,,,,10-Jan,1,,Sunstone Management,1
Relativity Space,2015,"3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Long Beach, California, United States",90809,"Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Active,6733,Late Stage Venture,2023-11-15,Series F,,,Private,,,,Growing,$1M to $10M,501-1000,9,1355719978,"General Catalyst, BlackRock, Y Combinator, Fidelity, Tiger Global Management",58
ExLabs,2023,"Aerospace, Manufacturing, Mining Technology, Natural Resources, Robotics, Space Travel","Long Beach, California, United States",90808,ExLabs is an aerospace company that focuses on developing infrastructure for resource utilization in aerospace and defense technologies.,Active,52842,Seed,,Grant,,,Private,,,,,,11-50,4,3600000,"Leonid Capital Partners, 1517 Fund",2
Virgin Orbit,2017,"Aerospace, Satellite Communication, Space Travel","Long Beach, California, United States",90808,Virgin Orbit focuses on providing launch services for small satellites.,Active,8813,IPO,2023-02-02,Post-IPO Equity,,,Public,3200000000,2021-12-30,,,$10M to $50M,501-1000,5,479500000,"UK Space Agency, Mubadala, Yorkville Advisors, Virgin Group, AEI Horizon X",5
RELU Labs,2019,"Analytics, Artificial Intelligence (AI), Education, Human Resources, Information Technology, Machine Learning, Small and Medium Businesses, Warehouse Automation","Cypress, California, United States",90630,RELU Labs is working on improving robotic perception and automation capabilities in the space of assembly and warehouse logistics.,Closed,1442928,,,,,,Private,,,,,,10-Jan,,,,
Optec America,2017,"Manufacturing, Product Design, Technical Support","Torrance, California, United States",90505,Optec America is a distributor of defence and military products.,Active,1958393,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Safely Health,2016,"Apps, Blockchain, Health Care, Information Technology, Marketplace, Software","Santa Monica, California, United States",90404,Safely is a marketplace platform for testing and verification of STDs and COVID-19.,Active,103291,Early Stage Venture,2019-07-01,Series A,,,Private,,,,,$10M to $50M,10-Jan,4,5300000,"AngelList, StartUp Health, KiwiTech, Mayo Clinic, Bossanova Investimentos",15
HoldOn Bags,2021,"Consumer Goods, E-Commerce, Manufacturing, Retail","Santa Monica, California, United States",90401,"HoldOn Bags manufactures compostable, plant-based household bags to reduce environmental pollution.",Active,278714,,,,,,Private,,,,,,10-Jan,,,,
Qualle,2021,"Information Technology, Software, Web Development","Santa Monica, California, United States",90401,Qualle provides driving efficiencies and optimizations in the drayage space by utilizing empty ocean containers.,Active,1220991,,2022-08-18,Non-equity Assistance,,,Private,,,,,Less than $1M,10-Jan,2,,Plug and Play,1
Ctrl AI,2023,"Artificial Intelligence (AI), Web3","Santa Monica, California, United States",90401,Innovative AI Platform with revolutionary co-ownership model,Active,531040,,,,,,Private,,,,,,10-Jan,,,,
Emerge,2015,"Consumer Electronics, Manufacturing, Telecommunications","Marina Del Rey, California, United States",90292,"Emerge is a computer and electronic manufacturing company that offers products in the gaming, and space exploration fields.",Active,2699305,,,,,,Private,,,,,$1M to $10M,11-50,,,,
One Inc Cooperative,2018,"Artificial Intelligence (AI), Professional Networking","Los Angeles, California, United States",90292,One Inc Cooperative is a space-making company that specializes in communications technologies.,Active,1129396,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Impulse Space,2021,"Aerospace, Manufacturing, Space Travel","Redondo Beach, California, United States",90278,Impulse Space develops orbital maneuvering vehicles for last-mile cargo delivery.,Active,267,Early Stage Venture,2024-10-01,Series B,,,Private,,,,Growing,$1M to $10M,101-250,3,225000000,"Island Green, Alumni Ventures, DCVC, Lux Capital, Jackson Moses",8
Power Orbital,2018,Manufacturing,"Redondo Beach, California, United States",90277,Power Orbital is a manufacturing company.,Active,89685,,2018-10-31,Venture - Series Unknown,,,Private,,,,,,,1,7100000,,
Advancepay,2022,"Advertising, Big Data, Information Technology, Market Research, Marketing, Software","Pacific Palisades, California, United States",90272,AdvancePay offers a marketing technology platform that empowers brands with pricing data and benchmarketing for the social commerce space.,Active,155860,Seed,,Pre-Seed,,,Private,,,,,,10-Jan,1,200000,"Antler, Launch House, Jason Xie",3
Park Yourself,2018,"Information Technology, Mobile Apps, Software","Manhattan Beach, California, United States",90266,Park Yourself is a software development company that offers EV charging stations and parking space-finding apps.,Active,2211145,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
GiveBox,2016,"Analytics, FinTech, Information Technology","El Segundo, California, United States",90254,The first end-to-end payment and technology solution solving THE problem in philanthropic fundraising,Active,409349,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Itech Series,2016,"Artificial Intelligence (AI), Consulting, Content Marketing, Content Syndication, Information Technology, Lead Generation, Market Research, Publishing","Hawthorne, California, United States",90250,"Itech Series is a technology company that provides lead generation, events, and editorial services for organizations.",Active,259192,,,,,,Private,,,,,,11-50,,,,
NAXC,2017,"Aerospace, Space Travel","Hawthorne, California, United States",90250,"NAXC was an aerospace company that designs, manufactured and launched rockets into space.",Closed,160413,M&A,2018-12-25,Series A,Astronomical Research Center,,Private,,,,,,10-Jan,2,2001000,,
Hadrian,2020,"Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management","Hawthorne, California, United States",90250,Hadrian is a machine parts startup that manufactures precision components for technology companies.,Active,3263,Early Stage Venture,2024-02-21,Series B,,,Private,,,,,$1M to $10M,101-250,5,216500000,"Andreessen Horowitz, Founders Fund, Lux Capital, Jackson Moses, Village Global",21
Leo Aerospace,2017,"Aerospace, Satellite Communication, Space Travel","Los Angeles, California, United States",90247,Leo Aerospace is building a dedicated delivery service for microsatellites.,Active,155776,Seed,2019-07-15,Seed,,,Private,,,,Growing,Less than $1M,10-Jan,4,120000,"Techstars, Startmate, Creative Destruction Lab (CDL), Blackbird Ventures, Plug and Play",6
Phase Four,2015,"Aerospace, Innovation Management, Space Travel","El Segundo, California, United States",90245,Phase Four is a provider of electric propulsion (EP) for small satellites.,Active,6089,Early Stage Venture,2024-03-13,Debt Financing,,,Private,,,,Growing,$1M to $10M,11-50,7,35815499,"Leonid Capital Partners, Alumni Ventures, Lightspeed Venture Partners, Dolby Family Ventures, Green D Ventures",11
